old_exercise_id,new_exercise_id,transformation_type,active_or_deprecated,provenance_preserved
exercise.cardiorespiratory.caminata_ritmo_moderado,exercise.cardiorespiratory.caminata,MERGE,deprecated,true
exercise.cardiorespiratory.caminata_vigorosa,exercise.cardiorespiratory.caminata,MERGE,deprecated,true
exercise.cardiorespiratory.caminata_por_cuestas,exercise.cardiorespiratory.caminata_por_cuestas,NO_CHANGE,active,true
exercise.cardiorespiratory.trote_suave,exercise.cardiorespiratory.trote_suave,NO_CHANGE,active,true
exercise.cardiorespiratory.ciclismo_continuo,exercise.cardiorespiratory.ciclismo_continuo,NO_CHANGE,active,true
exercise.cardiorespiratory.natacion_continua,exercise.cardiorespiratory.natacion_continua,NO_CHANGE,active,true
exercise.cardiorespiratory.remo_ergometro,exercise.cardiorespiratory.remo_ergometro,NO_CHANGE,active,true
exercise.cardiorespiratory.nordic_walking,exercise.cardiorespiratory.nordic_walking,NO_CHANGE,active,true
exercise.cardiorespiratory.baile_recreativo,exercise.cardiorespiratory.baile_recreativo,NO_CHANGE,active,true
exercise.resistance.sentadilla,exercise.resistance.sentadilla,NO_CHANGE,active,true
exercise.resistance.bisagra_de_cadera_kb,exercise.resistance.bisagra_de_cadera_kb,NO_CHANGE,active,true
exercise.resistance.flexiones,exercise.resistance.flexiones,NO_CHANGE,active,true
exercise.resistance.remo_con_carga,exercise.resistance.remo_con_carga,NO_CHANGE,active,true
exercise.resistance.plancha_isometrica,exercise.resistance.plancha_isometrica,NO_CHANGE,active,true
exercise.resistance.zancadas,exercise.resistance.zancadas,NO_CHANGE,active,true
exercise.resistance.farmer_carry,exercise.resistance.farmer_carry,NO_CHANGE,active,true
exercise.resistance.burpees,exercise.resistance.burpees,NO_CHANGE,active,true
exercise.flexibility.movilidad_cadera_dirigida,exercise.flexibility.movilidad_cadera_dirigida,NO_CHANGE,active,true
exercise.neuromotor.equilibrio_unipodal,exercise.neuromotor.equilibrio_unipodal,NO_CHANGE,active,true
exercise.neuromotor.marcha_en_tandem,exercise.neuromotor.marcha_en_tandem,NO_CHANGE,active,true
exercise.neuromotor.sentarse_levantarse_silla,exercise.neuromotor.sentarse_levantarse_silla,NO_CHANGE,active,true
exercise.resistance.transicion_desde_el_suelo,exercise.resistance.transicion_desde_el_suelo,NO_CHANGE,active,true
exercise.resistance.press_de_hombros,exercise.resistance.press_de_hombros,NO_CHANGE,active,true
exercise.resistance.elevacion_de_cadera_glutea,exercise.resistance.elevacion_de_cadera_glutea,NO_CHANGE,active,true
exercise.resistance.subida_al_cajon_step_up,exercise.resistance.subida_al_cajon_step_up,NO_CHANGE,active,true
